,route,time,departure airport,arrival airport,departure city,arrival city,transit_distance [m],transit_time [s]
462,"{'DUS', 'ZRH'}",70.0,DUS,ZRH,Cologne,Zürich,587557,21060
464,"{'EAS', 'MAD'}",65.0,EAS,MAD,Donostia,Madrid,549104,17640
465,"{'EDI', 'AGP'}",200.0,EDI,AGP,Dunfermline,Málaga,3417126,111900
467,"{'EDI', 'BHX'}",65.0,EDI,BHX,Dunfermline,Birmingham,500695,18240
468,"{'EDI', 'BRS'}",75.0,EDI,BRS,Dunfermline,Bristol,645236,23400
469,"{'EDI', 'CRL'}",105.0,EDI,CRL,Dunfermline,Brussels,1037762,31860
471,"{'EDI', 'GVA'}",137.5,EDI,GVA,Dunfermline,Geneva,1757620,48780
472,"{'EDI', 'LGW'}",85.0,EDI,LGW,Dunfermline,London,664689,21360
473,"{'EDI', 'MAD'}",175.0,EDI,MAD,Dunfermline,Madrid,2832643,87480
474,"{'EIN', 'AGP'}",177.5,EIN,AGP,Eindhoven,Málaga,2475199,95280
475,"{'EIN', 'ALC'}",155.0,EIN,ALC,Eindhoven,Alicante,2390321,85980
476,"{'EIN', 'ATH'}",175.0,EIN,ATH,Eindhoven,Athens,3694992,216240
477,"{'EIN', 'BGY'}",97.5,EIN,BGY,Eindhoven,Monza,970633,42420
478,"{'EIN', 'BUD'}",120.0,EIN,BUD,Eindhoven,Budapest,1343316,49380
479,"{'EIN', 'CLJ'}",140.0,EIN,CLJ,Eindhoven,Cluj-Napoca,1891142,113340
480,"{'EIN', 'DEB'}",130.0,EIN,DEB,Eindhoven,Debrecen,1575420,70440
481,"{'EIN', 'KRK'}",115.0,EIN,KRK,Eindhoven,Kraków,1306913,52020
482,"{'EIN', 'LIS'}",175.0,EIN,LIS,Eindhoven,Lisbon,3158749,135960
483,"{'EIN', 'SZG'}",85.0,EIN,SZG,Eindhoven,Salzburg,901938,31200
484,"{'EIN', 'VNO'}",137.5,EIN,VNO,Eindhoven,Vilnius,1698857,77340
486,"{'EMA', 'AGP'}",180.0,EMA,AGP,Nottingham,Málaga,2958756,99660
487,"{'EMA', 'ALC'}",165.0,EMA,ALC,Nottingham,Alicante,2536067,95100
488,"{'EMA', 'BFS'}",65.0,EMA,BFS,Nottingham,Belfast,576895,50300
489,"{'EMA', 'GVA'}",112.5,EMA,GVA,Nottingham,Geneva,1234205,31140
490,"{'EMA', 'ORY'}",105.0,EMA,ORY,Nottingham,Paris,705773,19500
491,"{'EMA', 'RZE'}",165.0,EMA,RZE,Nottingham,Rzeszów,2671964,96120
493,"{'FAO', 'BFS'}",188.75,FAO,BFS,Faro,Belfast,3665666,162166
495,"{'FAO', 'LIS'}",47.5,FAO,LIS,Faro,Lisbon,308186,13860
499,"{'FCO', 'AGP'}",157.5,FCO,AGP,Rome,Málaga,2742812,124800
501,"{'FCO', 'AMS'}",155.0,FCO,AMS,Rome,Amsterdam,1663046,64800
502,"{'FCO', 'AOI'}",65.0,FCO,AOI,Rome,Ancona,252295,13800
504,"{'FCO', 'BCN'}",105.0,FCO,BCN,Rome,Barcelona,1644198,101100
505,"{'FCO', 'BLQ'}",60.0,FCO,BLQ,Rome,Bologna,316538,7380
506,"{'FCO', 'BUD'}",105.0,FCO,BUD,Rome,Budapest,1493081,52020
507,"{'FCO', 'CAG'}",65.0,FCO,CAG,Rome,Cagliari,467881,52380
508,"{'FCO', 'CDG'}",127.5,FCO,CDG,Rome,Paris,1476957,46080
510,"{'FCO', 'ORY'}",115.0,FCO,ORY,Rome,Paris,1476957,46080
512,"{'FCO', 'CGN'}",120.0,FCO,CGN,Rome,Cologne,1396320,45660
513,"{'FCO', 'CTA'}",80.0,FCO,CTA,Rome,Catania,729777,34385
514,"{'FCO', 'EIN'}",130.0,FCO,EIN,Rome,Eindhoven,1584302,56220
515,"{'FCO', 'FLR'}",55.0,FCO,FLR,Rome,Florence,267528,5220
516,"{'FCO', 'FMM'}",90.0,FCO,FMM,Rome,Ulm,1056366,37440
517,"{'FCO', 'GOA'}",65.0,FCO,GOA,Rome,Genoa,652821,18780
519,"{'FCO', 'LGW'}",150.0,FCO,LGW,Rome,London,1930316,85080
521,"{'FCO', 'LHR'}",160.0,FCO,LHR,Rome,London,1930316,85080
523,"{'FCO', 'LIN'}",70.0,FCO,LIN,Rome,Milan,518002,11400
524,"{'FCO', 'LIS'}",185.0,FCO,LIS,Rome,Lisbon,2977247,147480
525,"{'FCO', 'LYS'}",95.0,FCO,LYS,Rome,Lyon,957180,39900
526,"{'FCO', 'MAD'}",152.5,FCO,MAD,Rome,Madrid,2268949,113700
528,"{'FCO', 'MUC'}",90.0,FCO,MUC,Rome,Munich,910187,31980
529,"{'FCO', 'NCE'}",70.0,FCO,NCE,Rome,Nice,646029,33240
530,"{'FCO', 'OTP'}",140.0,FCO,OTP,Rome,Bucharest,2347313,136560
532,"{'CIA', 'OTP'}",120.0,CIA,OTP,Rome,Bucharest,2347313,136560
534,"{'FCO', 'PMO'}",67.5,FCO,PMO,Rome,Palermo,851301,39140
535,"{'FCO', 'POZ'}",140.0,FCO,POZ,Rome,Poznań,1818739,82860
536,"{'FCO', 'PRG'}",110.0,FCO,PRG,Rome,Prague,1601555,63960
537,"{'FCO', 'RDO'}",135.0,FCO,RDO,Rome,Radom,2004130,87600
539,"{'FCO', 'SUF'}",70.0,FCO,SUF,Rome,Cosenza,493340,21376
540,"{'FCO', 'TIA'}",80.0,FCO,TIA,Rome,Tirana,890315,71499
541,"{'FCO', 'TRN'}",75.0,FCO,TRN,Rome,Turin,699037,15997
542,"{'FCO', 'TRS'}",65.0,FCO,TRS,Rome,Trieste,593302,20340
543,"{'FCO', 'VIE'}",102.5,FCO,VIE,Rome,Vienna,1234528,41100
544,"{'FCO', 'VLC'}",125.0,FCO,VLC,Rome,Valencia,1990879,115020
545,"{'FCO', 'VRN'}",60.0,FCO,VRN,Rome,Verona,470057,11280
546,"{'FCO', 'WAW'}",145.0,FCO,WAW,Rome,Warsaw,2038673,82440
547,"{'FCO', 'ZRH'}",95.0,FCO,ZRH,Rome,Zürich,820830,27000
550,"{'FLR', 'CDG'}",110.0,FLR,CDG,Florence,Paris,1213756,39840
551,"{'FLR', 'LGW'}",130.0,FLR,LGW,Florence,London,1653874,80340
552,"{'FLR', 'MAD'}",145.0,FLR,MAD,Florence,Madrid,2033836,108900
553,"{'FLR', 'MUC'}",75.0,FLR,MUC,Florence,Munich,626300,26520
554,"{'FMM', 'CLJ'}",115.0,FMM,CLJ,Ulm,Cluj-Napoca,1445870,84480
555,"{'FMM', 'OPO'}",170.0,FMM,OPO,Ulm,Porto,3125294,195420
556,"{'FMM', 'OTP'}",135.0,FMM,OTP,Ulm,Bucharest,1712062,88200
568,"{'FRA', 'AGP'}",185.0,FRA,AGP,Frankfurt,Málaga,2586405,97560
569,"{'FRA', 'ALC'}",165.0,FRA,ALC,Frankfurt,Alicante,2417887,85260
570,"{'FRA', 'AMS'}",75.0,FRA,AMS,Frankfurt,Amsterdam,437481,14580
571,"{'FRA', 'ARN'}",132.5,FRA,ARN,Frankfurt,Stockholm,1637815,64320
573,"{'FRA', 'BLQ'}",90.0,FRA,BLQ,Frankfurt,Bologna,890894,32400
574,"{'FRA', 'BRE'}",60.0,FRA,BRE,Frankfurt,Bremen,458792,16620
575,"{'FRA', 'BRS'}",97.5,FRA,BRS,Frankfurt,Bristol,974186,32520
576,"{'FRA', 'BRU'}",60.0,FRA,BRU,Frankfurt,Brussels,400850,11280
577,"{'FRA', 'BSL'}",55.0,FRA,BSL,Frankfurt,Freiburg im Breisgau,269631,7920
578,"{'FRA', 'BUD'}",100.0,FRA,BUD,Frankfurt,Budapest,1126632,36540
579,"{'FRA', 'CDG'}",75.0,FRA,CDG,Frankfurt,Paris,669917,14940
580,"{'FRA', 'DRS'}",65.0,FRA,DRS,Frankfurt,Dresden,498931,15660
581,"{'FRA', 'DUS'}",50.0,FRA,DUS,Frankfurt,Cologne,180339,4020
582,"{'FRA', 'FLR'}",92.5,FRA,FLR,Frankfurt,Florence,972477,35160
583,"{'FRA', 'GOT'}",105.0,FRA,GOT,Frankfurt,Gothenburg,1340010,51720
584,"{'FRA', 'GRZ'}",85.0,FRA,GRZ,Frankfurt,Graz,829007,31260
585,"{'FRA', 'GVA'}",65.0,FRA,GVA,Frankfurt,Geneva,561770,21480
586,"{'FRA', 'HAM'}",67.5,FRA,HAM,Frankfurt,Hamburg,503783,15708
587,"{'FRA', 'HEL'}",160.0,FRA,HEL,Frankfurt,Helsinki,2096871,109680
588,"{'FRA', 'HHN'}",45.0,FRA,HHN,Frankfurt,Koblenz,130411,7800
589,"{'FRA', 'KRK'}",97.5,FRA,KRK,Frankfurt,Kraków,1017769,43620
590,"{'FRA', 'LEJ'}",60.0,FRA,LEJ,Frankfurt,Leipzig,374503,11160
591,"{'FRA', 'LGW'}",90.0,FRA,LGW,Frankfurt,London,777929,22860
593,"{'FRA', 'LHR'}",105.0,FRA,LHR,Frankfurt,London,777929,22860
595,"{'FRA', 'LIN'}",77.5,FRA,LIN,Frankfurt,Milan,689249,28260
596,"{'FRA', 'MAN'}",105.0,FRA,MAN,Frankfurt,Manchester,1082315,33480
597,"{'FRA', 'MUC'}",65.0,FRA,MUC,Frankfurt,Munich,423187,11520
598,"{'FRA', 'MXP'}",80.0,FRA,MXP,Frankfurt,Novara,668481,31380
599,"{'FRA', 'NUE'}",45.0,FRA,NUE,Frankfurt,Nuremberg,225216,7380
600,"{'FRA', 'OSL'}",140.0,FRA,OSL,Frankfurt,Oslo,1734328,85620
601,"{'FRA', 'POZ'}",90.0,FRA,POZ,Frankfurt,Poznań,776422,27540
602,"{'FRA', 'PRG'}",70.0,FRA,PRG,Frankfurt,Prague,706671,25860
603,"{'FRA', 'STR'}",50.0,FRA,STR,Frankfurt,Stuttgart,191402,5580
604,"{'FRA', 'SZG'}",65.0,FRA,SZG,Frankfurt,Salzburg,570522,18300
606,"{'FRA', 'TRN'}",80.0,FRA,TRN,Frankfurt,Turin,832869,34623
607,"{'FRA', 'VIE'}",86.66666666666667,FRA,VIE,Frankfurt,Vienna,770183,22680
608,"{'FRA', 'WAW'}",120.0,FRA,WAW,Frankfurt,Warsaw,1073912,36600
609,"{'FRA', 'WRO'}",85.0,FRA,WRO,Frankfurt,Wrocław,761513,29880
610,"{'FRA', 'ZAG'}",95.0,FRA,ZAG,Frankfurt,Bistrica ob Sotli,1131379,60660
611,"{'FRA', 'ZRH'}",60.0,FRA,ZRH,Frankfurt,Zürich,423637,15060
620,"{'BRS', 'GNB'}",100.0,BRS,GNB,Bristol,Grenoble,1242825,64860
622,"{'GOJ', 'LED'}",125.0,GOJ,LED,Nizhniy Novgorod,Saint Petersburg,1725235,39420
623,"{'GOJ', 'SVO'}",80.0,GOJ,SVO,Nizhniy Novgorod,Moscow,1080556,18120
625,"{'AGP', 'GOT'}",235.0,AGP,GOT,Málaga,Gothenburg,4102683,161280
626,"{'BGO', 'GOT'}",75.0,BGO,GOT,Bergen,Gothenburg,740428,40620
627,"{'GRO', 'BHX'}",135.0,GRO,BHX,Mataró,Birmingham,1821655,81660
628,"{'GRX', 'BCN'}",87.5,GRX,BCN,Granada,Barcelona,1160112,23400
629,"{'GRX', 'MAD'}",70.0,GRX,MAD,Granada,Madrid,558805,14100
630,"{'GVA', 'ARN'}",160.0,GVA,ARN,Geneva,Stockholm,2339581,88920
631,"{'GVA', 'BCN'}",90.0,GVA,BCN,Geneva,Barcelona,838456,42900
632,"{'GVA', 'BHX'}",110.0,GVA,BHX,Geneva,Birmingham,1213627,32280
633,"{'GVA', 'BOH'}",100.0,GVA,BOH,Geneva,Southampton,1172176,33180
634,"{'GVA', 'BRS'}",105.0,GVA,BRS,Geneva,Bristol,1228560,34260
635,"{'GVA', 'BRU'}",80.0,GVA,BRU,Geneva,Brussels,845164,19440
636,"{'GVA', 'GOT'}",135.0,GVA,GOT,Geneva,Gothenburg,2041998,83100
637,"{'GVA', 'LGW'}",97.5,GVA,LGW,Geneva,London,1034026,26940
639,"{'GVA', 'MAD'}",125.0,GVA,MAD,Geneva,Madrid,1468327,72180
640,"{'GVA', 'MUC'}",75.0,GVA,MUC,Geneva,Munich,603613,24540
641,"{'GVA', 'OPO'}",135.0,GVA,OPO,Geneva,Porto,2360586,121980
642,"{'GVA', 'PRN'}",137.5,GVA,PRN,Geneva,Pristina,2071983,147989
643,"{'GVA', 'SOU'}",100.0,GVA,SOU,Geneva,Portsmouth,1157597,34920
644,"{'HAJ', 'FRA'}",55.0,HAJ,FRA,Hannover,Frankfurt,336648,10740
645,"{'HAJ', 'MUC'}",70.0,HAJ,MUC,Hannover,Munich,647010,18000
646,"{'AGP', 'HAM'}",200.0,AGP,HAM,Málaga,Hamburg,3266545,109608
647,"{'HAU', 'BGO'}",30.0,HAU,BGO,Haugesund,Bergen,130483,12768
648,"{'ARN', 'HEL'}",65.0,ARN,HEL,Stockholm,Helsinki,515442,40920
649,"{'HEL', 'BCN'}",245.0,HEL,BCN,Helsinki,Barcelona,3931770,192420
650,"{'HEL', 'BRU'}",157.5,HEL,BRU,Helsinki,Brussels,2353986,147600
651,"{'CDG', 'HEL'}",170.0,CDG,HEL,Paris,Helsinki,2717400,137640
652,"{'HEL', 'GOT'}",122.5,HEL,GOT,Helsinki,Gothenburg,1053598,66840
653,"{'HEL', 'HAM'}",117.5,HEL,HAM,Helsinki,Hamburg,1737546,100860
655,"{'OUL', 'HEL'}",62.5,OUL,HEL,Oulu,Helsinki,679495,20400
656,"{'RVN', 'HEL'}",77.5,RVN,HEL,Rovaniemi,Helsinki,897120,30780
657,"{'HHN', 'AGP'}",175.0,HHN,AGP,Koblenz,Málaga,2455025,100020
658,"{'INI', 'HHN'}",135.0,INI,HHN,Niš,Koblenz,2037049,104172
659,"{'IAS', 'CIA'}",140.0,IAS,CIA,Iaşi,Rome,2145574,153585
660,"{'IAS', 'OTP'}",70.0,IAS,OTP,Iaşi,Bucharest,463875,31785
661,"{'IBZ', 'BCN'}",55.0,IBZ,BCN,Ibiza,Barcelona,643731,37334
662,"{'IBZ', 'MAD'}",75.0,IBZ,MAD,Ibiza,Madrid,1267754,47834
663,"{'IBZ', 'VLC'}",50.0,IBZ,VLC,Ibiza,Valencia,209317,27530
666,"{'INN', 'BRS'}",127.5,INN,BRS,Innsbruck,Bristol,1595502,53340
667,"{'INN', 'EDI'}",155.0,INN,EDI,Innsbruck,Dunfermline,2070224,74700
668,"{'INN', 'FRA'}",65.0,INN,FRA,Innsbruck,Frankfurt,589239,19440
669,"{'INN', 'LGW'}",123.33333333333331,INN,LGW,Innsbruck,London,1400864,43440
670,"{'INN', 'MAN'}",140.0,INN,MAN,Innsbruck,Manchester,1693791,54060
671,"{'INN', 'VIE'}",57.5,INN,VIE,Innsbruck,Vienna,501013,15060
672,"{'INV', 'LGW'}",97.5,INV,LGW,Forres,London,976254,33000
674,"{'IWA', 'LED'}",105.0,IWA,LED,Ivanovo,Saint Petersburg,1001852,39420
677,"{'KGD', 'LED'}",105.0,KGD,LED,Kaliningrad,Saint Petersburg,2104572,98520
678,"{'VKO', 'KGD'}",115.0,VKO,KGD,Moscow,Kaliningrad,1635362,71580
680,"{'SVO', 'KGD'}",168.33333333333334,SVO,KGD,Moscow,Kaliningrad,1635362,71580
683,"{'KGS', 'RHO'}",30.0,KGS,RHO,Bodrum,Ródos,156942,127866
685,"{'KIV', 'CDG'}",195.0,KIV,CDG,Chisinau,Paris,2589852,132668
686,"{'KIV', 'LIS'}",270.0,KIV,LIS,Chisinau,Lisbon,4943317,279488
687,"{'KIV', 'OTP'}",72.5,KIV,OTP,Chisinau,Bucharest,507673,37988
688,"{'KJA', 'LED'}",297.5,KJA,LED,Krasnoyarsk,Saint Petersburg,7641113,259680
689,"{'SVO', 'KJA'}",292.5,SVO,KJA,Moscow,Krasnoyarsk,5630875,237240
690,"{'KJA', 'VKO'}",286.6666666666667,KJA,VKO,Krasnoyarsk,Moscow,6105042,233400
692,"{'KJA', 'SVO'}",317.5,KJA,SVO,Krasnoyarsk,Moscow,6105042,233400
694,"{'KRK', 'AGP'}",222.5,KRK,AGP,Kraków,Málaga,3570100,124200
695,"{'KRK', 'AMS'}",120.0,KRK,AMS,Kraków,Amsterdam,1277935,56700
696,"{'KRK', 'ARN'}",120.0,KRK,ARN,Kraków,Stockholm,2021296,86220
697,"{'KRK', 'BCN'}",167.5,KRK,BCN,Kraków,Barcelona,2459646,98760
698,"{'KRK', 'BGY'}",107.5,KRK,BGY,Kraków,Monza,1167984,74400
699,"{'KRK', 'BHX'}",152.5,KRK,BHX,Kraków,Birmingham,1994051,96960
700,"{'KRK', 'BLQ'}",105.0,KRK,BLQ,Kraków,Bologna,1137611,66420
701,"{'KRK', 'BVA'}",135.0,KRK,BVA,Kraków,Amiens,1890423,88980
702,"{'KRK', 'CAG'}",147.5,KRK,CAG,Kraków,Cagliari,2341806,153540
703,"{'KRK', 'CIA'}",120.0,KRK,CIA,Kraków,Rome,1414394,77280
704,"{'KRK', 'CRL'}",120.0,KRK,CRL,Kraków,Brussels,1483333,80280
705,"{'KRK', 'EDI'}",165.0,KRK,EDI,Kraków,Dunfermline,2533050,109740
706,"{'KRK', 'EIN'}",120.0,KRK,EIN,Kraków,Eindhoven,1250978,49260
707,"{'KRK', 'GOT'}",107.5,KRK,GOT,Kraków,Gothenburg,1723755,80400
708,"{'KRK', 'LGW'}",155.0,KRK,LGW,Kraków,London,1811776,89220
710,"{'KRK', 'LTN'}",147.5,KRK,LTN,Kraków,London,1811776,89220
712,"{'KRK', 'LIL'}",127.5,KRK,LIL,Kraków,Lille,1588321,82200
713,"{'KRK', 'NYO'}",110.0,KRK,NYO,Kraków,Nyköping,1918907,83640
714,"{'KRK', 'OSL'}",137.5,KRK,OSL,Kraków,Oslo,2118019,99900
715,"{'KRK', 'PSA'}",115.0,KRK,PSA,Kraków,Livorno,1238382,77760
717,"{'KRK', 'TLS'}",160.0,KRK,TLS,Kraków,Toulouse,2583288,99660
718,"{'KRK', 'VIE'}",62.5,KRK,VIE,Kraków,Vienna,395106,20220
719,"{'KRK', 'VLC'}",185.0,KRK,VLC,Kraków,Valencia,2812673,115320
720,"{'KRK', 'WAW'}",55.0,KRK,WAW,Kraków,Warsaw,289598,7920
721,"{'KRR', 'SVO'}",140.0,KRR,SVO,Krasnodar,Moscow,1565826,67680
723,"{'KRR', 'VKO'}",132.5,KRR,VKO,Krasnodar,Moscow,1565826,67680
726,"{'KRS', 'BGO'}",50.0,KRS,BGO,Kristiansand,Bergen,753786,40980
727,"{'KSC', 'PRG'}",75.0,KSC,PRG,Košice,Prague,677557,30540
728,"{'KTW', 'ALC'}",195.0,KTW,ALC,Katowice,Alicante,2926363,120540
729,"{'KTW', 'ATH'}",155.0,KTW,ATH,Katowice,Athens,1850804,120900
730,"{'KTW', 'CTA'}",153.33333333333334,KTW,CTA,Katowice,Catania,2091729,105384
731,"{'KTW', 'LTN'}",147.5,KTW,LTN,Katowice,London,1734810,86040
732,"{'KUF', 'LED'}",143.75,KUF,LED,Samara,Saint Petersburg,1836132,72600
733,"{'KUN', 'BGY'}",145.0,KUN,BGY,Kaunas,Monza,2094395,114780
734,"{'KUO', 'HEL'}",60.0,KUO,HEL,Kuopio,Helsinki,432444,15900
735,"{'ATH', 'KVA'}",70.0,ATH,KVA,Athens,Kavála,628346,29141
736,"{'KVX', 'LED'}",120.0,KVX,LED,Kirov,Saint Petersburg,3083332,75840
737,"{'KVX', 'SVO'}",107.5,KVX,SVO,Kirov,Moscow,1759911,49560
739,"{'KVX', 'VKO'}",102.5,KVX,VKO,Kirov,Moscow,1759911,49560
742,"{'KZN', 'LED'}",135.0,KZN,LED,Kazan,Saint Petersburg,1438990,62400
743,"{'KZN', 'SVO'}",105.0,KZN,SVO,Kazan,Moscow,1191797,44340
745,"{'KZN', 'VKO'}",105.0,KZN,VKO,Kazan,Moscow,1191797,44340
748,"{'LBA', 'ALC'}",167.5,LBA,ALC,Bradford,Alicante,2692381,99000
749,"{'LBA', 'AMS'}",80.0,LBA,AMS,Bradford,Amsterdam,955224,25680
750,"{'LBA', 'CMF'}",120.0,LBA,CMF,Bradford,Annecy,1433525,36480
751,"{'LBA', 'FAO'}",182.5,LBA,FAO,Bradford,Faro,3230103,109260
752,"{'LBA', 'KRK'}",152.5,LBA,KRK,Bradford,Kraków,2632941,101400
753,"{'LBA', 'POZ'}",130.0,LBA,POZ,Bradford,Poznań,1765322,73680
754,"{'LCG', 'MAD'}",76.66666666666667,LCG,MAD,A Coruña,Madrid,694805,15000
755,"{'CEE', 'LED'}",55.0,CEE,LED,Cherepovets,Saint Petersburg,575611,35040
756,"{'MMK', 'LED'}",110.0,MMK,LED,Murmansk,Saint Petersburg,2104421,94440
757,"{'LEI', 'MAD'}",75.0,LEI,MAD,Almería,Madrid,737429,24000
758,"{'LGG', 'AGP'}",190.0,LGG,AGP,Maastricht,Málaga,2341600,94404
759,"{'AGP', 'LGW'}",170.0,AGP,LGW,Málaga,London,2913325,96060
760,"{'BCN', 'LGW'}",135.0,BCN,LGW,Barcelona,London,1621242,37800
761,"{'OTP', 'LGW'}",225.0,OTP,LGW,Bucharest,London,2679669,119820
762,"{'LHR', 'ABZ'}",95.0,LHR,ABZ,London,Aberdeen,844654,26100
763,"{'LHR', 'ARN'}",160.0,LHR,ARN,London,Stockholm,2172542,78780
765,"{'STN', 'ARN'}",147.5,STN,ARN,London,Stockholm,2172542,78780
767,"{'LHR', 'ATH'}",245.0,LHR,ATH,London,Athens,4407400,232860
769,"{'STN', 'ATH'}",215.0,STN,ATH,London,Athens,4407400,232860
771,"{'LHR', 'BLL'}",110.0,LHR,BLL,London,Kolding,1447415,52860
773,"{'STN', 'BLL'}",95.0,STN,BLL,London,Kolding,1447415,52860
775,"{'LHR', 'BLQ'}",145.0,LHR,BLQ,London,Bologna,2057008,70860
777,"{'STN', 'BLQ'}",125.0,STN,BLQ,London,Bologna,2057008,70860
779,"{'LHR', 'BRU'}",71.66666666666667,LHR,BRU,London,Brussels,377105,7320
780,"{'BSL', 'LHR'}",100.0,BSL,LHR,Freiburg im Breisgau,London,1180294,38580
781,"{'LHR', 'EDI'}",85.0,LHR,EDI,London,Dunfermline,664753,20580
784,"{'LTN', 'EDI'}",75.0,LTN,EDI,London,Dunfermline,664753,20580
787,"{'STN', 'EDI'}",80.0,STN,EDI,London,Dunfermline,664753,20580
790,"{'LHR', 'GIB'}",185.0,LHR,GIB,London,Algeciras,2498770,107460
792,"{'LHR', 'GNB'}",110.0,LHR,GNB,London,Grenoble,1063357,23460
795,"{'LTN', 'GNB'}",107.5,LTN,GNB,London,Grenoble,1063357,23460
798,"{'STN', 'GNB'}",110.0,STN,GNB,London,Grenoble,1063357,23460
801,"{'LHR', 'GOT'}",127.5,LHR,GOT,London,Gothenburg,1874870,72960
803,"{'STN', 'GOT'}",112.5,STN,GOT,London,Gothenburg,1874870,72960
805,"{'LHR', 'GVA'}",102.5,LHR,GVA,London,Geneva,1034008,24420
808,"{'LTN', 'GVA'}",105.0,LTN,GVA,London,Geneva,1034008,24420
811,"{'STN', 'GVA'}",107.5,STN,GVA,London,Geneva,1034008,24420
814,"{'LHR', 'LIN'}",120.0,LHR,LIN,London,Milan,1347959,43080
819,"{'LHR', 'LYS'}",112.5,LHR,LYS,London,Lyon,940737,20400
820,"{'LHR', 'MAD'}",147.5,LHR,MAD,London,Madrid,2223544,78360
823,"{'LGW', 'MAD'}",145.0,LGW,MAD,London,Madrid,2223544,78360
826,"{'STN', 'MAD'}",155.0,STN,MAD,London,Madrid,2223544,78360
829,"{'LHR', 'MXP'}",130.0,LHR,MXP,London,Novara,1397769,48600
831,"{'STN', 'MXP'}",117.5,STN,MXP,London,Novara,1397769,48600
833,"{'LHR', 'NCE'}",130.0,LHR,NCE,London,Nice,1481043,33180
834,"{'LHR', 'NCL'}",77.5,LHR,NCL,London,Gateshead,438715,12180
835,"{'LHR', 'OSL'}",147.5,LHR,OSL,London,Oslo,2269265,92460
836,"{'LHR', 'OTP'}",200.0,LHR,OTP,London,Bucharest,3062127,145260
840,"{'LTN', 'OTP'}",207.5,LTN,OTP,London,Bucharest,3062127,145260
844,"{'LGW', 'OTP'}",190.0,LGW,OTP,London,Bucharest,3062127,145260
848,"{'STN', 'OTP'}",195.0,STN,OTP,London,Bucharest,3062127,145260
852,"{'LHR', 'SZG'}",130.0,LHR,SZG,London,Salzburg,1391550,45720
854,"{'STN', 'SZG'}",120.0,STN,SZG,London,Salzburg,1391550,45720
856,"{'LHR', 'TLS'}",115.0,LHR,TLS,London,Toulouse,1321009,31080
857,"{'LHR', 'VIE'}",140.0,LHR,VIE,London,Vienna,1542084,49140
859,"{'STN', 'VIE'}",135.0,STN,VIE,London,Vienna,1542084,49140
861,"{'LHR', 'ZRH'}",107.5,LHR,ZRH,London,Zürich,1120143,27840
862,"{'LIL', 'GVA'}",80.0,LIL,GVA,Lille,Geneva,807451,20760
863,"{'LIN', 'AMS'}",115.0,LIN,AMS,Milan,Amsterdam,1377834,45240
864,"{'LIN', 'BRU'}",85.0,LIN,BRU,Milan,Brussels,1160477,38700
865,"{'LIN', 'CAG'}",82.5,LIN,CAG,Milan,Cagliari,1033905,64800
866,"{'LIN', 'CDG'}",95.0,LIN,CDG,Milan,Paris,839464,30480
867,"{'LIN', 'CTA'}",115.0,LIN,CTA,Milan,Catania,1296923,43085
868,"{'LIN', 'HEL'}",185.0,LIN,HEL,Milan,Helsinki,2796660,153600
869,"{'LIN', 'MAD'}",145.0,LIN,MAD,Milan,Madrid,2278393,98700
870,"{'LIN', 'MUC'}",70.0,LIN,MUC,Milan,Munich,584837,24720
871,"{'LIN', 'REG'}",100.0,LIN,REG,Milan,Messina,1205978,38609
872,"{'LIN', 'SUF'}",97.5,LIN,SUF,Milan,Cosenza,1070697,31214
873,"{'LIS', 'ALC'}",105.0,LIS,ALC,Lisbon,Alicante,1455189,49500
874,"{'LIS', 'AMS'}",190.0,LIS,AMS,Lisbon,Amsterdam,3477834,122820
875,"{'LIS', 'BCN'}",117.5,LIS,BCN,Lisbon,Barcelona,1579423,84960
877,"{'LIS', 'BOD'}",115.0,LIS,BOD,Lisbon,Bordeaux,2019042,111360
878,"{'LIS', 'BRU'}",170.0,LIS,BRU,Lisbon,Brussels,3260477,115800
879,"{'LIS', 'CDG'}",155.0,LIS,CDG,Lisbon,Paris,2939464,106020
881,"{'LIS', 'ORY'}",151.25,LIS,ORY,Lisbon,Paris,2939464,106020
883,"{'LIS', 'CGN'}",185.0,LIS,CGN,Lisbon,Cologne,3239294,135840
885,"{'LIS', 'GVA'}",155.0,LIS,GVA,Lisbon,Geneva,2674786,114780
886,"{'LIS', 'HEL'}",275.0,LIS,HEL,Lisbon,Helsinki,5663263,247080
887,"{'LHR', 'LIS'}",165.0,LHR,LIS,London,Lisbon,2949226,119580
889,"{'STN', 'LIS'}",165.0,STN,LIS,London,Lisbon,2949226,119580
891,"{'LIS', 'LUX'}",160.0,LIS,LUX,Lisbon,Trier,3413286,123360
892,"{'LIS', 'LYS'}",145.0,LIS,LYS,Lisbon,Lyon,2494591,104700
893,"{'LIS', 'MAD'}",80.0,LIS,MAD,Lisbon,Madrid,989947,37560
894,"{'LIS', 'MUC'}",190.0,LIS,MUC,Lisbon,Munich,3852702,131280
896,"{'LIS', 'OPO'}",60.0,LIS,OPO,Lisbon,Porto,336184,11100
900,"{'LIS', 'VLC'}",92.5,LIS,VLC,Lisbon,Valencia,1324736,44700
901,"{'LIS', 'WMI'}",250.0,LIS,WMI,Lisbon,Warsaw,4348913,188520
903,"{'LLA', 'ARN'}",80.0,LLA,ARN,Luleå,Stockholm,1058474,55980
